cd_UGestora,dt_Ano,quantidadeAditivoPorGestao,quantidadeConviteLicitacaoPorGestao
101001,2013,1,0
101002,2009,2,10
101004,2009,2,9
101007,2009,1,17
101008,2013,9,3
101011,2013,6,2
101014,2013,2,1
101015,2009,1,3
101016,2013,1,2
101017,2009,3,7
101021,2013,3,2
101022,2013,1,0
101024,2009,1,3
101025,2009,3,33
101025,2013,1,19
101026,2009,1,19
101027,2013,1,0
101032,2009,1,1
101034,2009,5,12
101038,2009,6,16
101040,2009,66,74
101040,2013,1,32
101045,2009,5,5
101046,2009,16,58
101048,2009,5,9
101051,2009,1,11
101052,2013,1,2
101057,2013,1,18
101058,2013,1,2
101059,2013,4,2
101060,2009,2,9
101061,2009,2,9
101062,2009,1,2
101062,2013,1,1
101064,2009,3,13
101066,2013,1,0
101074,2009,3,13
101079,2013,1,8
101082,2009,1,22
101082,2013,1,3
101083,2009,2,12
101088,2009,6,17
101089,2009,3,6
101090,2013,1,7
101091,2009,1,5
101092,2009,2,5
101094,2009,1,1
101095,2009,13,63
101095,2013,11,7
101097,2009,3,15
101098,2013,2,0
101099,2009,2,3
101100,2009,2,1
101100,2013,3,0
101101,2013,1,1
101103,2009,10,27
101106,2009,3,5
101107,2013,3,1
101110,2009,1,15
101110,2013,2,10
101113,2013,1,1
101114,2009,8,11
101114,2013,3,0
101121,2013,1,1
101123,2009,6,1
101124,2009,1,7
101125,2013,1,1
101132,2009,1,1
101134,2009,3,15
101135,2013,4,0
101136,2009,3,5
101136,2013,1,1
101137,2009,1,19
101138,2013,3,1
101139,2009,3,35
101142,2009,1,12
101142,2013,2,2
101143,2009,1,2
101145,2009,1,3
101150,2013,1,1
101151,2009,2,21
101151,2013,1,7
101153,2009,2,1
101153,2013,2,0
101154,2009,1,1
101155,2009,4,11
101156,2013,1,2
101157,2013,2,5
101162,2009,3,2
101166,2013,2,3
101170,2009,2,7
101171,2009,5,54
101171,2013,10,9
101172,2009,1,3
101178,2009,14,36
101179,2009,4,0
101179,2013,1,0
101181,2009,3,6
101185,2013,3,0
101186,2013,1,8
101187,2013,1,1
101193,2013,1,3
101194,2013,1,4
101195,2009,2,1
101195,2013,3,0
101197,2013,4,6
101199,2013,2,3
101200,2009,2,13
101200,2013,6,8
101201,2013,1,0
101204,2009,4,0
101205,2009,2,3
101208,2009,4,14
101210,2013,1,1
101211,2009,5,66
101211,2013,17,10
101214,2013,2,0
101215,2009,1,12
101216,2009,1,3
101216,2013,2,2
101221,2009,1,9
101223,2009,1,0
101223,2013,2,1
201001,2009,5,111
201001,2013,66,24
201002,2009,6,70
201002,2013,73,3
201003,2009,5,49
201003,2013,23,14
201004,2009,21,504
201004,2013,5,65
201005,2009,1,106
201005,2013,18,36
201006,2009,13,68
201006,2013,20,20
201007,2013,1,27
201008,2009,108,381
201008,2013,76,31
201009,2009,3,29
201009,2013,17,6
201010,2009,52,51
201010,2013,73,0
201011,2009,9,189
201011,2013,34,3
201012,2009,27,188
201012,2013,36,11
201013,2009,41,162
201013,2013,68,11
201014,2009,91,251
201014,2013,7,37
201015,2013,12,1
201016,2009,7,193
201016,2013,38,33
201017,2009,162,329
201017,2013,45,42
201018,2013,20,12
201019,2009,8,126
201019,2013,22,14
201020,2009,47,517
201020,2013,47,31
201021,2009,18,207
201021,2013,25,26
201022,2009,13,71
201022,2013,41,1
201023,2009,14,9
201023,2013,11,9
201024,2013,22,7
201025,2009,179,237
201025,2013,135,54
201026,2009,2,287
201026,2013,15,44
201027,2009,72,244
201027,2013,119,24
201028,2009,62,187
201028,2013,48,1
201029,2009,11,137
201029,2013,22,0
201030,2009,89,214
201030,2013,47,11
201031,2013,4,39
201032,2013,1,2
201033,2009,32,133
201033,2013,70,5
201034,2009,11,141
201034,2013,120,50
201035,2009,10,123
201035,2013,30,32
201036,2009,68,71
201036,2013,74,6
201037,2009,42,24
201037,2013,60,6
201038,2009,16,313
201038,2013,34,1
201039,2013,8,2
201040,2009,46,529
201040,2013,75,18
201041,2013,15,54
201042,2009,11,226
201042,2013,11,5
201043,2009,3,241
201043,2013,10,11
201044,2009,4,246
201044,2013,17,23
201045,2009,120,228
201045,2013,20,37
201046,2009,240,610
