cd_Ugestora;dt_Ano;de_Ugestora;ELEITO;class;n.dispensas
201001;2009;ÁGUA BRANCA;AROUDO FIRMINO BATISTA;Julgados;13
201001;2013;ÁGUA BRANCA;TARCISIO ALVES FIRMINO;Julgados;16
201001;2013;ÁGUA BRANCA;TARCISIO ALVES FIRMINO;Julgados;16
201002;2009;AGUIAR;MANOEL BATISTA GUEDES FILHO;NÃo julgados;1
201002;2013;AGUIAR;MANOEL BATISTA GUEDES FILHO;NÃo julgados;5
201003;2009;ALAGOA GRANDE;JOAO BOSCO CARNEIRO JUNIOR;NÃo julgados;11
201003;2013;ALAGOA GRANDE;HILDON REGIS NAVARRO FILHO;NÃo julgados;19
201004;2009;ALAGOA NOVA;KLEBER HERCULANO DE MORAES;Julgados;24
201004;2009;ALAGOA NOVA;KLEBER HERCULANO DE MORAES;Julgados;24
201005;2009;ALAGOINHA;ALCIONE MARACAJA DE MORAIS BELTRAO;Julgados;7
201005;2009;ALAGOINHA;ALCIONE MARACAJA DE MORAIS BELTRAO;Julgados;7
201005;2009;ALAGOINHA;ALCIONE MARACAJA DE MORAIS BELTRAO;Julgados;7
201005;2009;ALAGOINHA;ALCIONE MARACAJA DE MORAIS BELTRAO;Julgados;7
201006;2009;ALCANTIL;JOSE MILTON RODRIGUES;NÃo julgados;6
201006;2013;ALCANTIL;JOSE ADEMAR DE FARIAS;NÃo julgados;12
201008;2009;ALHANDRA;RENATO MENDES LEITE;Julgados;24
201008;2009;ALHANDRA;RENATO MENDES LEITE;Julgados;24
201008;2013;ALHANDRA;MARCELO RODRIGUES DA COSTA;NÃo julgados;26
201009;2009;AMPARO;JOAO LUIS DE LACERDA JUNIOR;NÃo julgados;1
201009;2013;AMPARO;JOSE ARNALDO DA SILVA;NÃo julgados;1
201010;2009;APARECIDA;DEUSIMAR PIRES FERREIRA;NÃo julgados;27
201010;2013;APARECIDA;JULIO CESAR QUEIROGA DE ARAUJO;NÃo julgados;40
201012;2009;ARARA;JOSE ERNESTO DOS SANTOS SOBRINHO;NÃo julgados;8
201012;2013;ARARA;ERALDO FERNANDES DE AZEVEDO;NÃo julgados;49
201013;2009;ARARUNA;WILMA TARGINO MARANHAO;Julgados;3
201013;2009;ARARUNA;WILMA TARGINO MARANHAO;Julgados;3
201014;2009;AREIA;ELSON DA CUNHA LIMA FILHO;NÃo julgados;9
201014;2013;AREIA;PAULO GOMES PEREIRA;NÃo julgados;25
201016;2009;AREIAL;ADELSON GONCALVES BENJAMIN;NÃo julgados;0
201016;2013;AREIAL;CICERO PEDRO MEDA DE ALMEIDA;NÃo julgados;19
201017;2009;AROEIRAS;GILSEPPE DE OLIVEIRA SOUSA;Julgados;23
201017;2009;AROEIRAS;GILSEPPE DE OLIVEIRA SOUSA;Julgados;23
201017;2009;AROEIRAS;GILSEPPE DE OLIVEIRA SOUSA;Julgados;23
201017;2013;AROEIRAS;MYLTON DOMINGUES DE AGUIAR MARQUES;Julgados;39
201017;2013;AROEIRAS;MYLTON DOMINGUES DE AGUIAR MARQUES;Julgados;39
201020;2009;BANANEIRAS;MARTA ELEONORA ARAGAO RAMALHO;NÃo julgados;59
201020;2013;BANANEIRAS;DOUGLAS LUCENA MOURA DE MEDEIROS;NÃo julgados;155
201022;2009;BARRA DE SANTA ROSA;EVALDO COSTA GOMES;Julgados;1
201022;2013;BARRA DE SANTA ROSA;FABIAN DUTRA SILVA;Julgados;16
201022;2013;BARRA DE SANTA ROSA;FABIAN DUTRA SILVA;Julgados;16
201023;2009;BARRA DE SANTANA;MANOEL ALMEIDA DE ANDRADE;NÃo julgados;1
201023;2013;BARRA DE SANTANA;JOVENTINO ERNESTO DO REGO NETO;NÃo julgados;21
201025;2009;BAYEUX;JOSIVAL JUNIOR DE SOUZA;Julgados;84
201025;2009;BAYEUX;JOSIVAL JUNIOR DE SOUZA;Julgados;84
201025;2013;BAYEUX;EXPEDITO PEREIRA DE SOUZA;NÃo julgados;78
201028;2009;BERNARDINO BATISTA;JOSE EDOMARQUES GOMES;NÃo julgados;15
201028;2013;BERNARDINO BATISTA;GERVAZIO GOMES DOS SANTOS;NÃo julgados;81
201029;2009;BOA VENTURA;JOSE PINTO NETO;NÃo julgados;0
201029;2013;BOA VENTURA;MARIA LEONICE LOPES VITAL;NÃo julgados;20
201030;2009;BOA VISTA;EDVAN PEREIRA LEITE;Julgados;11
201030;2009;BOA VISTA;EDVAN PEREIRA LEITE;Julgados;11
201030;2009;BOA VISTA;EDVAN PEREIRA LEITE;Julgados;11
201030;2009;BOA VISTA;EDVAN PEREIRA LEITE;Julgados;11
201031;2009;BOM JESUS;MANOEL DANTAS VENCESLAU;Julgados;2
201031;2009;BOM JESUS;MANOEL DANTAS VENCESLAU;Julgados;2
201031;2009;BOM JESUS;MANOEL DANTAS VENCESLAU;Julgados;2
201031;2009;BOM JESUS;MANOEL DANTAS VENCESLAU;Julgados;2
201031;2009;BOM JESUS;MANOEL DANTAS VENCESLAU;Julgados;2
201031;2009;BOM JESUS;MANOEL DANTAS VENCESLAU;Julgados;2
201031;2013;BOM JESUS;ROBERTO BANDEIRA DE MELO BARBOSA;Julgados;3
201031;2013;BOM JESUS;ROBERTO BANDEIRA DE MELO BARBOSA;Julgados;3
201031;2013;BOM JESUS;ROBERTO BANDEIRA DE MELO BARBOSA;Julgados;3
201031;2013;BOM JESUS;ROBERTO BANDEIRA DE MELO BARBOSA;Julgados;3
201031;2013;BOM JESUS;ROBERTO BANDEIRA DE MELO BARBOSA;Julgados;3
201032;2009;BOM SUCESSO;GILSON CAVALCANTE DE OLIVEIRA;NÃo julgados;1
201032;2013;BOM SUCESSO;IVALDO WASHINGTON DE LIMA;NÃo julgados;5
201035;2009;BORBOREMA;JOSE RENATO EDUARDO DOS SANTOS;NÃo julgados;4
201035;2013;BORBOREMA;MARIA PAULA GOMES PEREIRA;NÃo julgados;0
201036;2009;BREJO DO CRUZ;FRANCISCO DUTRA SOBRINHO;NÃo julgados;3
201036;2013;BREJO DO CRUZ;ANA MARIA DUTRA DA SILVA;NÃo julgados;27
201037;2009;BREJO DOS SANTOS;LAURI FERREIRA DA COSTA;NÃo julgados;1
201037;2013;BREJO DOS SANTOS;LUIZ VIEIRA DE ALMEIDA;NÃo julgados;10
201039;2009;CABACEIRAS;RICARDO JORGE DE FARIAS AIRES;NÃo julgados;0
201039;2013;CABACEIRAS;LUIZ AIRES CAVALCANTE;NÃo julgados;12
201040;2009;CABEDELO;JOSE FRANCISCO REGIS;Julgados;33
201040;2009;CABEDELO;JOSE FRANCISCO REGIS;Julgados;33
201040;2013;CABEDELO;JOSE MARIA DE LUCENA FILHO;Julgados;143
201040;2013;CABEDELO;JOSE MARIA DE LUCENA FILHO;Julgados;143
201040;2013;CABEDELO;JOSE MARIA DE LUCENA FILHO;Julgados;143
201041;2009;CACHOEIRA DOS ÍNDIOS;ARLINDO FRANCISCO DE SOUSA;NÃo julgados;27
201041;2013;CACHOEIRA DOS ÍNDIOS;FRANCISCO DANTAS RICARTE;NÃo julgados;5
201042;2009;CACIMBA DE AREIA;INACIO ROBERTO DE LIRA CAMPOS;Julgados;8
201042;2009;CACIMBA DE AREIA;INACIO ROBERTO DE LIRA CAMPOS;Julgados;8
201042;2009;CACIMBA DE AREIA;INACIO ROBERTO DE LIRA CAMPOS;Julgados;8
201042;2013;CACIMBA DE AREIA;ORISMAN FERREIRA DA NOBREGA;Julgados;5
201042;2013;CACIMBA DE AREIA;ORISMAN FERREIRA DA NOBREGA;Julgados;5
201043;2009;CACIMBA DE DENTRO;EDMILSON GOMES DE SOUZA;Julgados;3
201043;2009;CACIMBA DE DENTRO;EDMILSON GOMES DE SOUZA;Julgados;3
201044;2009;CACIMBAS;NILTON DE ALMEIDA;Julgados;36
201044;2013;CACIMBAS;GERALDO TERTO DA SILVA;NÃo julgados;23
201046;2009;CAJAZEIRAS;LEONID SOUZA DE ABREU;NÃo julgados;468
201046;2013;CAJAZEIRAS;FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA;NÃo julgados;116
201047;2009;CAJAZEIRINHAS;JOSE ALMEIDA SILVA;Julgados;12
201047;2013;CAJAZEIRINHAS;CRISTOVAO AMARO DA SILVA FILHO;NÃo julgados;15
201050;2009;CAMPINA GRANDE;VENEZIANO VITAL DO REGO SEGUNDO NETO;NÃo julgados;43
201050;2013;CAMPINA GRANDE;ROMERO RODRIGUES VEIGA;NÃo julgados;467
201051;2013;TACIMA;ERIVAN BEZERRA DANIEL;NÃo julgados;20
201052;2009;CAPIM;EUCLIDES SERGIO COSTA DE LIMA;NÃo julgados;0
201052;2013;CAPIM;EDVALDO CARLOS FREIRE JUNIOR;NÃo julgados;1
201054;2009;CARRAPATEIRA;JOSE ARDISON PEREIRA;Julgados;5
201054;2009;CARRAPATEIRA;JOSE ARDISON PEREIRA;Julgados;5
201054;2009;CARRAPATEIRA;JOSE ARDISON PEREIRA;Julgados;5
201054;2009;CARRAPATEIRA;JOSE ARDISON PEREIRA;Julgados;5
201054;2009;CARRAPATEIRA;JOSE ARDISON PEREIRA;Julgados;5
201054;2013;CARRAPATEIRA;ANDRE PEDROSA ALVES;Julgados;12
201054;2013;CARRAPATEIRA;ANDRE PEDROSA ALVES;Julgados;12
201054;2013;CARRAPATEIRA;ANDRE PEDROSA ALVES;Julgados;12
201054;2013;CARRAPATEIRA;ANDRE PEDROSA ALVES;Julgados;12
201055;2009;CASSERENGUE;GENIVAL BENTO DA SILVA;Julgados;13
201055;2013;CASSERENGUE;LUIS CARLOS FRANCISCO DOS SANTOS;NÃo julgados;21
201056;2009;CATINGUEIRA;JOSE EDIVAN FELIX;Julgados;3
201056;2009;CATINGUEIRA;JOSE EDIVAN FELIX;Julgados;3
201056;2009;CATINGUEIRA;JOSE EDIVAN FELIX;Julgados;3
201056;2009;CATINGUEIRA;JOSE EDIVAN FELIX;Julgados;3
201056;2009;CATINGUEIRA;JOSE EDIVAN FELIX;Julgados;3
201056;2009;CATINGUEIRA;JOSE EDIVAN FELIX;Julgados;3
201056;2013;CATINGUEIRA;ALBINO FELIX DE SOUSA NETO;Julgados;2
201056;2013;CATINGUEIRA;ALBINO FELIX DE SOUSA NETO;Julgados;2
201056;2013;CATINGUEIRA;ALBINO FELIX DE SOUSA NETO;Julgados;2
201056;2013;CATINGUEIRA;ALBINO FELIX DE SOUSA NETO;Julgados;2
201060;2009;CONDADO;EUGENIO PACELLI DE LIMA;Julgados;24
201060;2013;CONDADO;CAIO RODRIGO BEZERRA PAIXAO;Julgados;22
201060;2013;CONDADO;CAIO RODRIGO BEZERRA PAIXAO;Julgados;22
201061;2009;CONDE;ALUISIO VINAGRE REGIS;NÃo julgados;13
201061;2013;CONDE;TATIANA LUNDGREN CORREA DE OLIVEIRA;NÃo julgados;16
201062;2009;CONGO;ROMUALDO ANTONIO QUIRINO DE SOUSA;NÃo julgados;2
201062;2013;CONGO;ROMUALDO ANTONIO QUIRINO DE SOUSA;NÃo julgados;29
201063;2009;COREMAS;EDILSON PEREIRA DE OLIVEIRA;Julgados;4
201063;2009;COREMAS;EDILSON PEREIRA DE OLIVEIRA;Julgados;4
201063;2013;COREMAS;ANTONIO CARLOS CAVALCANTI LOPES;Julgados;2
201063;2013;COREMAS;ANTONIO CARLOS CAVALCANTI LOPES;Julgados;2
201064;2009;COXIXOLA;NELSON HONORATO DA SILVA;NÃo julgados;1
201064;2013;COXIXOLA;GIVALDO LIMEIRA DE FARIAS;NÃo julgados;9
201066;2009;CUBATI;DIMAS PEREIRA DA SILVA;Julgados;0
201066;2013;CUBATI;EDUARDO RONIELLE GUIMARAES MARTINS DANTAS;NÃo julgados;4
201069;2009;CUITEGI;EDNALDO PAULO LINO;NÃo julgados;50
201069;2013;CUITEGI;GUILHERME CUNHA MADRUGA JUNIOR;NÃo julgados;10
201070;2009;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2009;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2009;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2009;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2009;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2013;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2013;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2013;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201070;2013;CURRAL DE CIMA;NADIR FERNANDES DE FARIAS;Julgados;1
201071;2009;CURRAL VELHO;LUIZ ALVES BARBOSA;Julgados;1
201071;2013;CURRAL VELHO;JOAQUIM ALVES BARBOSA FILHO;Julgados;0
201071;2013;CURRAL VELHO;JOAQUIM ALVES BARBOSA FILHO;Julgados;0
201071;2013;CURRAL VELHO;JOAQUIM ALVES BARBOSA FILHO;Julgados;0
201071;2013;CURRAL VELHO;JOAQUIM ALVES BARBOSA FILHO;Julgados;0
201071;2013;CURRAL VELHO;JOAQUIM ALVES BARBOSA FILHO;Julgados;0
201073;2009;DESTERRO;DILSON DE ALMEIDA;NÃo julgados;28
201073;2013;DESTERRO;ROSANGELA DE FATIMA LEITE;NÃo julgados;36
201074;2009;DIAMANTE;HERCULES BARROS MANGUEIRA DINIZ;NÃo julgados;7
201074;2013;DIAMANTE;MARCILIA MANGUEIRA GUIMARAES;Julgados;3
201074;2013;DIAMANTE;MARCILIA MANGUEIRA GUIMARAES;Julgados;3
201076;2009;DUAS ESTRADAS;ROBERTO CARLOS NUNES;NÃo julgados;0
201076;2013;DUAS ESTRADAS;EDSON GOMES DE LUNA;NÃo julgados;12
201077;2009;EMAS;FERNANDA MARIA MARINHO DE MEDEIROS LOUREIRO;NÃo julgados;11
201077;2013;EMAS;JOSE WILLIAM SEGUNDO MADRUGA;NÃo julgados;16
201079;2009;FAGUNDES;GILBERTO MUNIZ DANTAS;Julgados;7
201079;2009;FAGUNDES;GILBERTO MUNIZ DANTAS;Julgados;7
201079;2009;FAGUNDES;GILBERTO MUNIZ DANTAS;Julgados;7
201079;2009;FAGUNDES;GILBERTO MUNIZ DANTAS;Julgados;7
201079;2013;FAGUNDES;JOSE PEDRO DA SILVA;Julgados;14
201079;2013;FAGUNDES;JOSE PEDRO DA SILVA;Julgados;14
201079;2013;FAGUNDES;JOSE PEDRO DA SILVA;Julgados;14
201079;2013;FAGUNDES;JOSE PEDRO DA SILVA;Julgados;14
201079;2013;FAGUNDES;JOSE PEDRO DA SILVA;Julgados;14
201079;2013;FAGUNDES;JOSE PEDRO DA SILVA;Julgados;14
201080;2009;FREI MARTINHO;FRANCIVALDO SANTOS DE ARAUJO;Julgados;0
201080;2009;FREI MARTINHO;FRANCIVALDO SANTOS DE ARAUJO;Julgados;0
201080;2009;FREI MARTINHO;FRANCIVALDO SANTOS DE ARAUJO;Julgados;0
201080;2009;FREI MARTINHO;FRANCIVALDO SANTOS DE ARAUJO;Julgados;0
201080;2009;FREI MARTINHO;FRANCIVALDO SANTOS DE ARAUJO;Julgados;0
201080;2013;FREI MARTINHO;AGUIFAILDO LIRA DANTAS;NÃo julgados;14
201081;2009;GADO BRAVO;AUSTERLIANO EVALDO ARAUJO;NÃo julgados;1
201081;2013;GADO BRAVO;AUSTERLIANO EVALDO ARAUJO;NÃo julgados;8
201082;2009;GUARABIRA;MARIA DE FATIMA DE AQUINO PAULINO;NÃo julgados;51
201082;2013;GUARABIRA;ZENOBIO TOSCANO DE OLIVEIRA;Julgados;56
201082;2013;GUARABIRA;ZENOBIO TOSCANO DE OLIVEIRA;Julgados;56
201085;2009;IBIARA;PEDRO FEITOZA LEITE;NÃo julgados;2
201085;2013;IBIARA;PEDRO FEITOZA LEITE;NÃo julgados;13
201086;2009;IGARACY;JUCELINO LIMA DE FARIAS;NÃo julgados;0
201086;2013;IGARACY;DEUSALEIDE JERONIMO LEITE;NÃo julgados;4
201087;2009;IMACULADA;JOSE RIBAMAR DA SILVA;Julgados;0
201087;2009;IMACULADA;JOSE RIBAMAR DA SILVA;Julgados;0
201087;2009;IMACULADA;JOSE RIBAMAR DA SILVA;Julgados;0
201087;2009;IMACULADA;JOSE RIBAMAR DA SILVA;Julgados;0
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201089;2009;ITABAIANA;EURIDICE MOREIRA DA SILVA;NÃo julgados;14
201089;2013;ITABAIANA;ANTONIO CARLOS RODRIGUES DE MELO JUNIOR;Julgados;53
201089;2013;ITABAIANA;ANTONIO CARLOS RODRIGUES DE MELO JUNIOR;Julgados;53
201090;2009;ITAPORANGA;DJACI FARIAS BRASILEIRO;NÃo julgados;2
201090;2013;ITAPORANGA;AUDIBERG ALVES DE CARVALHO;NÃo julgados;65
